assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,1,0,0,45,8000,jewish,0,1,1,0,2.905057669,-10.10818958
1,1,0,0,0,30,8000,jewish,0,1,1,1,7.463582754,5.954551697
1,1,0,1,1,30,8000,jewish,0,1,0,0,-1.269990802,-7.766868472
1,1,0,1,0,38,12000,jewish,0,0,0,0,-1.735508889,1.268859208
1,1,1,0,1,26,12000,jewish,0,1,0,0,-3.99718076,-7.766868472
0,0,0,0,1,68,24000,jewish,0,1,0,0,-10.89941859,-10.10818958
1,1,0,1,1,65,16000,jewish,1,0,0,0,12.73045063,-5.425547957
1,1,0,0,0,35,24000,no religion,0,1,0,0,-6.340893507,-10.10818958
1,1,0,0,1,43,16000,jewish,1,1,0,1,3.484499454,3.966073096
0,0,0,0,0,58,3000,jewish,0,1,0,0,15.35216928,15.69042206
0,0,0,0,1,59,8000,jewish,1,1,0,0,-10.89941859,-10.10818958
0,0,0,0,0,58,12000,jewish,1,1,1,0,5.444735289,-3.249004483
1,0,0,1,1,58,3000,jewish,1,0,0,0,-6.258852482,-10.10818958
1,1,1,0,1,53,12000,jewish,0,1,0,1,17.67245293,8.651765585
1,1,0,0,0,29,3000,jewish,1,0,0,NA,-3.99718076,NA
1,0,0,1,0,38,3000,jewish,0,0,0,0,-1.840979755,NA
0,0,0,0,1,72,12000,jewish,0,1,1,1,12.73045063,15.51095009
1,0,1,0,0,29,3000,jewish,1,1,0,0,-10.89941859,-10.10818958
0,0,0,0,0,22,12000,other,1,0,0,0,-6.340893507,-10.10818958
1,1,0,1,1,42,16000,jewish,0,1,0,0,17.67245293,5.963144302
1,1,0,1,0,35,8000,jewish,0,0,0,1,10.71160316,3.96912396
1,1,0,1,0,30,3000,jewish,1,0,0,0,-6.340893507,-5.425547957
1,1,0,1,0,21,12000,jewish,1,1,0,0,3.183063567,-0.896040201
0,0,0,0,1,35,24000,jewish,0,1,0,0,5.248770714,3.610179722
1,1,0,0,1,53,24000,jewish,0,1,0,0,-4.020610452,1.271910369
1,0,0,1,0,27,12000,jewish,0,0,0,0,12.73045063,NA
1,0,1,0,1,65,16000,jewish,1,1,0,0,8.06645453,10.64578533
0,0,0,0,1,72,8000,jewish,1,0,0,0,10.71160316,15.69042206
1,1,1,0,0,50,12000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,0,1,0,23,12000,jewish,1,0,0,0,10.36330819,8.301413655
0,0,0,0,0,40,12000,jewish,0,1,0,0,-6.422934532,-10.10818958
1,1,0,1,0,36,12000,jewish,1,1,0,0,-6.258852482,-5.761204958
1,1,1,0,1,69,3000,jewish,1,0,0,1,12.73045063,15.51095009
1,0,1,0,1,63,12000,jewish,1,1,0,1,12.73045063,18.03174257
0,0,0,0,0,40,12000,jewish,0,1,0,0,8.148495555,3.957480192
0,0,0,0,0,81,0,jewish,0,0,0,0,-8.579135537,-10.10818958
0,0,0,0,0,40,12000,jewish,0,1,0,0,-3.973751068,1.448331326
1,1,1,0,0,35,12000,jewish,0,0,0,0,-4.020610452,-5.425547957
1,0,1,0,1,69,8000,jewish,1,0,0,1,13.03188682,13.34910154
0,0,0,0,1,62,12000,jewish,0,0,0,0,-6.317464113,-1.072461456
1,1,0,0,1,51,16000,jewish,0,1,0,1,5.444735289,8.307515979
1,0,0,1,0,74,3000,jewish,1,0,0,0,-1.480932534,-3.419884145
1,0,1,0,1,36,12000,jewish,0,1,0,0,-4.079221785,-0.72821185
0,0,0,0,0,47,3000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,1,0,1,59,16000,jewish,0,1,0,0,8.148495555,-0.896040201
0,0,0,0,1,44,16000,jewish,0,1,1,1,5.468165278,1.277452111
1,1,0,1,0,56,16000,jewish,0,0,1,0,-5.655981302,-0.72821185
